CODGEO,LIBGEO,AGEMEN700_TDM8100,AGEMEN700_TDM8200,AGEMEN700_TDM8310,AGEMEN700_TDM8300,AGEMEN700_TDM8410,AGEMEN700_TDM8420,AGEMEN700_TDM8500,AGEMEN720_TDM8100,AGEMEN720_TDM8200,AGEMEN720_TDM8310,AGEMEN720_TDM8300,AGEMEN720_TDM8410,AGEMEN720_TDM8420,AGEMEN720_TDM8500,AGEMEN725_TDM8100,AGEMEN725_TDM8200,AGEMEN725_TDM8310,AGEMEN725_TDM8300,AGEMEN725_TDM8410,AGEMEN725_TDM8420,AGEMEN725_TDM8500,AGEMEN740_TDM8100,AGEMEN740_TDM8200,AGEMEN740_TDM8310,AGEMEN740_TDM8300,AGEMEN740_TDM8410,AGEMEN740_TDM8420,AGEMEN740_TDM8500,AGEMEN755_TDM8100,AGEMEN755_TDM8200,AGEMEN755_TDM8310,AGEMEN755_TDM8300,AGEMEN755_TDM8410,AGEMEN755_TDM8420,AGEMEN755_TDM8500,AGEMEN765_TDM8100,AGEMEN765_TDM8200,AGEMEN765_TDM8310,AGEMEN765_TDM8300,AGEMEN765_TDM8410,AGEMEN765_TDM8420,AGEMEN765_TDM8500,AGEMEN780_TDM8100,AGEMEN780_TDM8200,AGEMEN780_TDM8310,AGEMEN780_TDM8300,AGEMEN780_TDM8410,AGEMEN780_TDM8420,AGEMEN780_TDM8500
35363,Pont-Péan,5,0,0,0,0,0,0,48,15,0,0,0,0,5,111,82,133,5,10,30,5,133,71,288,27,50,50,9,170,148,78,5,10,25,0,64,138,20,0,0,0,5,69,41,5,0,0,0,0
38057,Bresson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,10,5,0,0,22,0,35,10,20,0,0,5,21,10,0,0,0,0,27,58,0,0,5,0,0,11,26,0,0,0,0,0
38059,Brié-et-Angonnes,0,0,0,0,0,0,0,15,5,0,0,0,0,0,15,35,65,0,0,0,0,30,40,169,25,10,25,0,20,95,75,5,20,5,10,85,145,5,0,0,5,0,80,45,0,0,0,0,0
38068,Champagnier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,51,10,10,10,0,15,20,116,10,10,10,0,20,40,35,0,0,0,0,61,71,0,0,0,0,0,15,45,0,0,0,0,0
38071,Champ-sur-Drac,5,0,0,0,0,5,0,5,5,0,0,0,0,0,48,42,136,5,16,36,0,53,47,162,51,36,68,5,117,120,56,5,5,5,0,101,141,15,0,0,0,10,117,47,0,0,0,16,0
38111,Claix,5,0,0,0,0,0,0,16,5,0,0,5,0,0,111,82,225,29,10,30,5,132,81,504,87,20,116,14,237,306,103,15,15,46,19,327,530,15,5,0,10,5,185,153,0,0,0,5,0
38126,Corenc,5,0,0,0,0,0,0,24,0,0,0,0,0,5,78,79,90,0,0,15,5,58,69,265,15,15,59,10,97,79,99,15,0,15,0,151,290,5,10,0,0,15,127,59,10,0,5,0,0
38150,Domène,9,5,0,0,0,10,6,57,29,5,0,0,5,0,119,170,223,10,10,74,15,247,39,301,46,30,143,5,233,243,147,10,10,24,19,285,263,25,0,0,0,15,214,68,20,0,0,10,0
38151,Échirolles,123,1,0,0,5,20,8,436,100,29,6,36,53,43,1170,432,1030,149,171,474,90,1202,364,1581,236,222,745,58,1251,661,620,58,84,211,31,1554,1145,141,13,16,26,36,1051,530,18,7,3,45,24
38158,Eybens,3,0,0,0,3,0,5,93,29,4,3,6,4,3,299,174,285,28,23,112,48,320,122,538,49,53,184,18,321,364,147,20,18,56,3,393,341,46,1,8,6,2,260,177,9,0,0,0,3
